Latitud,Longitud
19.61849897,-99.30732277
19.61099397,-99.29849495
19.62448586,-99.31687223
19.61778345,-99.32971873
19.62230261,-99.31589577
19.62302579,-99.31657181
19.62681676,-99.31351057
19.60810931,-99.28549015
19.63043157,-99.31608017
19.64033938,-99.30369023
19.63506653,-99.29117865
19.62168723,-99.31003948
19.61748276,-99.32912685
19.57988682,-99.40563317
19.60932738,-99.28985572
19.61321194,-99.32359972
19.62112362,-99.29417268
19.59139571,-99.28335332
19.59699271,-99.27924531
19.57663057,-99.42007635
19.62984863,-99.28238143
19.63335291,-99.35361996
19.62532077,-99.41535489
19.66133149,-99.38302486
19.62621493,-99.31466996
19.62763802,-99.2956384
19.60525292,-99.28237396
19.61509523,-99.32416595
19.60970969,-99.29697298
19.60389257,-99.30813419
19.62109594,-99.29439334
19.62556736,-99.30834451
19.60322298,-99.2894048
19.63695909,-99.29149254
19.6342247,-99.33333378
19.63240899,-99.35334116
19.68917323,-99.35713864
19.6248399,-99.30958624
19.65538724,-99.38099461
19.60119909,-99.27747389
19.62554742,-99.31425274
19.61394871,-99.35311618
19.62518519,-99.33640483
19.60377444,-99.29850267
19.60092178,-99.2888234
19.60420153,-99.28728874
19.6360317,-99.29207169
19.6379991,-99.29014724
19.60703686,-99.31859449
19.59333575,-99.28655082
19.59848143,-99.30133064
19.60944452,-99.29623952
19.60427769,-99.27592143
19.65316285,-99.39231816
19.61884245,-99.31448034
19.64334941,-99.31252319
19.60757916,-99.28807974
19.62153132,-99.32711342
19.64627804,-99.39134678
19.63819399,-99.28884813
19.63779714,-99.29370908
19.64219973,-99.41303881
19.59141123,-99.28419182
19.60667364,-99.29231553
19.63505678,-99.33235058
19.60431708,-99.28661614
19.63200395,-99.31590315
19.61785076,-99.33081729
19.63360153,-99.35887957
19.60547585,-99.30977841
19.66239952,-99.38198095
19.64271277,-99.41491365
19.64547261,-99.3029445
19.62579834,-99.31569675
19.62666057,-99.31277405
19.62455372,-99.29956278
19.59655313,-99.28176595
19.60044992,-99.28572337
19.623922,-99.33972
19.60311078,-99.28431893
19.62275285,-99.34855903
19.61895393,-99.30491684
19.61970082,-99.31303262
19.63156103,-99.28543895
19.64169593,-99.30538823
19.604491,-99.4291279
19.59273477,-99.30339996
19.63256991,-99.35369665
19.62579614,-99.3157029
19.60831448,-99.28290862
19.68416807,-99.35847057
19.63102422,-99.32626565
19.64258563,-99.31205008
19.68911528,-99.35691955
19.61665874,-99.33104783
19.61720905,-99.28857241
19.61823793,-99.2894644
19.64212172,-99.29361958
19.6137201,-99.28852921
19.61225342,-99.35990611
19.62907974,-99.31444205
19.61378409,-99.29932747
19.64123831,-99.41207509
19.59423822,-99.28673984
19.63300996,-99.32792134
19.62620904,-99.31814956
19.63576326,-99.3039822
19.60624904,-99.28236374
19.62043561,-99.30757556
19.63152689,-99.33473905
19.62448225,-99.4159345
19.60751601,-99.28825624
19.59207671,-99.29364294
19.60527945,-99.30871043
19.69232205,-99.36660213
19.62889846,-99.41718855
19.6253489,-99.31340078
19.62347306,-99.33816867
19.60078661,-99.28250295
19.60766785,-99.28628036
19.6072226,-99.28949897
19.63632646,-99.28967467
19.60502597,-99.27955026
19.61674192,-99.28830059
19.60549574,-99.27706364
19.60524411,-99.30626837
19.64460126,-99.29004554
19.60502207,-99.29152705
19.689162,-99.35815955
19.61860046,-99.3364633
19.6081193,-99.28730604
19.61552606,-99.33535806
19.63488126,-99.36229689
19.60364086,-99.2791382
19.61457131,-99.33490194
19.63581689,-99.29607844
19.65480219,-99.38042689
19.60534502,-99.30912156
19.59689993,-99.2770054
19.60317754,-99.29715427
19.68917467,-99.35664638
19.6335814,-99.35395851
19.60689548,-99.27046568
19.64254027,-99.41273179
19.62579905,-99.31569476
19.61847207,-99.32331924
19.5912256,-99.2977973
19.59595851,-99.27905639
19.62043431,-99.31873279
19.62667961,-99.33619147
19.6269695,-99.31962211
19.59642475,-99.27619625
19.61458946,-99.31716192
19.60709027,-99.29199458
19.60158219,-99.28576337
19.59463274,-99.30548971
19.61860995,-99.28933913
19.60745838,-99.29178206
19.63725782,-99.31469056
19.61657449,-99.36230255
19.61305635,-99.30142065
19.61815192,-99.30790557
19.63857945,-99.30875276
19.62957922,-99.28688611
19.59793052,-99.30774565
19.63292718,-99.32588867
19.68872997,-99.35232902
19.59177473,-99.28743726
19.61978459,-99.34401794
19.61201286,-99.29629733
19.60642509,-99.28577327
19.60690867,-99.29781942
19.61273065,-99.29111613
19.63882521,-99.28531282
19.62483763,-99.30192575
19.60780028,-99.29269604
19.6187677,-99.321391
19.61476476,-99.42136651
19.6403097,-99.31816829
19.62737857,-99.29550528
19.61870278,-99.32325749
19.60255458,-99.3053043
19.63462463,-99.29834208
19.61884218,-99.32656969
19.59592265,-99.28441139
19.68393058,-99.34838208
19.61719088,-99.29230869
19.63757469,-99.2968051
19.6113775,-99.36068876
19.59825616,-99.27609879
19.62252245,-99.3098888
19.64064166,-99.30493217
19.62523998,-99.31465486
19.5997586,-99.30020806
19.6254323,-99.33673792
19.61901734,-99.33727433
19.61848002,-99.33115262
19.68683645,-99.34568041
19.6376628,-99.4071084
19.63406916,-99.31495299
19.65201582,-99.29781319
19.61567468,-99.3595623
19.5969423,-99.30238874
19.61379445,-99.35243552
19.6259182,-99.31623868
19.61882649,-99.30630692
19.60871428,-99.28375103
19.62702821,-99.32083841
19.60403121,-99.28735773
19.63519663,-99.4079593
19.61135361,-99.28054572
19.61432572,-99.29377439
19.62434634,-99.29954376
19.60363269,-99.27787998
19.61277327,-99.29667418
19.63794979,-99.29092076
19.60995621,-99.3347361
19.61167586,-99.29497997
19.65603541,-99.3776987
19.62579342,-99.32700676
19.62597544,-99.32743863
19.61022236,-99.2861116
19.59508339,-99.28586999
19.6364017,-99.33294014
19.62013769,-99.33995458
19.61725828,-99.29482592
19.64113058,-99.29568601
19.60078583,-99.27102626
19.5929191,-99.28677771
19.6129161,-99.27996305
19.6171301,-99.3368993
19.61996916,-99.33977049
19.60512345,-99.28670127
19.62252061,-99.30899278
19.60460915,-99.27990732
19.60147041,-99.30661283
19.626194,-99.31474542
19.61595788,-99.36047966
19.61407782,-99.3135227
19.61262827,-99.32235557
19.60737102,-99.28877897
19.64243771,-99.31887363
19.62269859,-99.35282114
19.64452148,-99.31389207
19.62580116,-99.31568886
19.624758,-99.30291093
19.59625535,-99.2750264
19.63074694,-99.41606789
19.64224489,-99.31899761
19.63403558,-99.29509536
19.59848682,-99.27542319
19.64133036,-99.30231515
19.63579734,-99.30725254
19.60383775,-99.28577995
19.64104054,-99.41798501
19.57673142,-99.41547131
19.6002989,-99.29012812
19.64108212,-99.41408844
19.61940752,-99.33831759
19.59811175,-99.28467072
19.6160765,-99.33191679
19.6328625,-99.31482569
19.620884,-99.31390052
19.59684023,-99.27679028
19.63482482,-99.35551962
19.61457069,-99.29232142
19.63650204,-99.29634899
19.63800713,-99.29120378
19.62054214,-99.35362259
19.59682855,-99.28127846
19.62557079,-99.31187687
19.61485209,-99.3343739
19.61331789,-99.34960498
19.6065612,-99.30776686
19.60535799,-99.28244977
19.62304395,-99.31903208
19.60401394,-99.30347586
19.64499637,-99.31106817
19.60079803,-99.28387778
19.62561658,-99.30916894
19.60780421,-99.28718029
19.59522565,-99.30582059
19.606635,-99.27017416
19.63889998,-99.29423016
19.6250577,-99.31545923
19.59643705,-99.28870974
19.59756004,-99.30265374
19.61050948,-99.27804451
19.60260775,-99.28059852
19.59847913,-99.30688633
19.62080156,-99.3136038
19.62029719,-99.33499039
19.64533673,-99.30085997
19.63559658,-99.29776154
19.61088985,-99.29890227
19.64001792,-99.40932992
19.59195792,-99.28128455
19.62947303,-99.34161123
19.62987525,-99.34117247
19.62559225,-99.31695388
19.62611924,-99.3174969
19.59590985,-99.28742018
19.62229245,-99.41837853
19.62457526,-99.31659131
19.62968554,-99.28714416
19.59963412,-99.28448483
19.62445361,-99.31676885
19.69207591,-99.3655187
19.63881876,-99.35934295
19.61979237,-99.31335627
19.60352294,-99.29509639
19.60365487,-99.27789774
19.61332006,-99.31846343
19.62383556,-99.33350629
19.62689227,-99.29042473
19.6056536,-99.29317695
19.62812424,-99.29135647
19.59664175,-99.30276896
19.63021666,-99.32702544
19.59962468,-99.28413486
19.61268402,-99.31784275
19.62214204,-99.31239811
19.61888499,-99.30661626
19.63569983,-99.30733176
19.63033609,-99.28758245
19.62566107,-99.31756952
19.59608078,-99.30448288
19.6359295,-99.32814942
19.62399598,-99.41617544
19.59913198,-99.30056699
19.61465725,-99.31110769
19.6423794,-99.29540757
19.62005248,-99.29989139
19.5937904,-99.28083828
19.60486757,-99.27593586
19.61327624,-99.35062562
19.60950757,-99.29620045
19.60673856,-99.27924583
19.62279526,-99.32185532
19.6066792,-99.29296865
19.61191152,-99.32432186
19.62324355,-99.33263269
19.63522019,-99.33121532
19.59986219,-99.2870516
19.62579926,-99.31569417
19.62801799,-99.29107261
19.59479445,-99.28186723
19.62844414,-99.3264341
19.62405842,-99.31326499
19.6085915,-99.28116701
19.62892079,-99.29256458
19.62488569,-99.31406946
19.62535906,-99.31512991
19.62579792,-99.33749877
19.61984171,-99.31242566
19.6231036,-99.31498969
19.60351,-99.28353639
19.60040911,-99.28715844
19.63017596,-99.31774792
19.62922317,-99.34275876
19.60471135,-99.30388541
19.60864202,-99.28996976
19.60992238,-99.32425475
19.59341892,-99.28651659
19.62670395,-99.3190341
