"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"2381460","15095461110005072001000000U6","ABARROTES EL TREBOL MINI SUPER",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","6 a 10 personas","CALLE","NINGUNO","ANDADOR","PLAZA CIVICA","CALLE","MANZANA 3 LOTE 7","CALLE","NINGUNO","20",,,,"0","20-21-22-23","FRACCIONAMIENTO","EL TREBOL",,,,"54614","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0265","044","5558769314",,,"Fijo","19.72624237","-99.20135501","2010-07"
"2381417","15095461110003801001000000U0","ABARROTES EL TULE",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","6 a 10 personas","CALLE","CONVENTO","CALLE","MANZANA 2 LOTE 3","CALLE","MANZANA 4 LOTE 2","CALLE","NINGUNO","4",,,,,,"FRACCIONAMIENTO","EL TREBOL",,,,"54614","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0265","026",,,,"Fijo","19.72696119","-99.2033349","2010-07"
"8478824","15095461110008922000000000S9","CENTRO DE DISTRIBUCION SP","S P EN MERCADOTECNIA SA DE CV","461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","6 a 10 personas","AVENIDA","AV. DE LA INDUSTRIA","CALLE","MUSEO","CALLE","NINGUNO","AVENIDA","AV. DE LA INDUSTRIA","22",,,,,,"FRACCIONAMIENTO","FRACC INDUSTRIAL TREBOL TEPOTZOTLAN",,,,"54614","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0250","008",,,,"Fijo","19.72093842","-99.20464861","2019-11"
"7031657","15095461160000922000000000U2","DULCERIA CUKAM",,"461160","Comercio al por menor de dulces y materias primas para repostería","6 a 10 personas","CALLE","CALLE DEL SABINO","AVENIDA","TOLUCA","AVENIDA","ALFREDO DEL MAZO ORIENTE","CALLE","CALLE DEL ENCINO",,"SN",,,,,"BARRIO","EJIDAL SANTA CRUZ DEL MONTE",,,,"54783","15","MÉXICO                      ","095","Tepotzotlán","0073","Santa Cruz del Monte","0462","004",,,,"Fijo","19.77000383","-99.22400591","2019-11"
"2473215","15095461110006011001000000U3","GALAXIA 2001",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","6 a 10 personas","CALLE","LEONA VICARIO","CALLE","PROFESORA SARA MARIA CORREA","CALLE","JOSEFA ORTIZ DE DOMINGUEZ","CALLE","PROFESORA SARA MARÍA CORREA","5",,,,,,"COLONIA","RICARDO FLORES MAGON",,,,"54600","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0227","028","5558766208",,,"Fijo","19.7239834","-99.22747229","2014-12"
"2498334","15095461130000682000000000U5","LA CANASTA",,"461130","Comercio al por menor de frutas y verduras frescas","6 a 10 personas","PROLONGACION","ADOLFO LOPEZ MATEOS","CALLE","PLAZA GUADALUPE","PRIVADA","NINGUNO","AVENIDA","PROLONGACION EVA SAMANO","0","SN",,,"0",,"BARRIO","SAN MARTIN",,,,"54600","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0246","002","5558762257",,,"Fijo","19.7162326","-99.22401778","2010-07"
"8478384","15095461150000292000000000U1","LICONSA LECHERIA 1520021900","LICONSA SEDESOL ","461150","Comercio al por menor de leche, otros productos lácteos y embutidos","6 a 10 personas","CALLE","LA COLUMNA","CALLE","VISTAHERMOSA","CALLE","IGNACIO ZARAGOZA","CALLE","NINGUNO",,"SN","MERCADO PUBLICO","PLANTA BAJA",,,"BARRIO","VISTA HERMOSA","MERCADO PUBLICO","MERCADO MUNICIPAL RICARDO FLORES MAGON","SN","54600","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0231","046",,,,"Fijo","19.72251957","-99.22923015","2019-11"
"2381627","15095461150000092000000000S5","MARBER","MARBER SA DE CV","461150","Comercio al por menor de leche, otros productos lácteos y embutidos","6 a 10 personas","AVENIDA","INSURGENTES","CALLE","MIGUEL CARRERA","CALLE","CALLE DEL RIO","CALLE","LICENCIADO BENITO JUÁREZ","26",,"CENTRO Y PLAZA COMERCIAL","PLANTA BAJA","0",,"BARRIO","TEXCACOA","CENTRO Y PLAZA COMERCIAL","PLAZA VIRREINAL GUADALUPANA","5, 6, 7","54605","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0208","010",,,,"Fijo","19.71246938","-99.21492454","2010-07"
"8480429","15095461110008972000000000S4","SABORES","SABORES SA DE CV","461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","6 a 10 personas","AVENIDA","AV. DE LA INDUSTRIA","CALLE","MUSEO","CALLE","NINGUNO","AVENIDA","AV. DE LA INDUSTRIA","22","B",,,,,"FRACCIONAMIENTO","FRACC INDUSTRIAL TREBOL TEPOTZOTLAN",,,,"54614","15","MÉXICO                      ","095","Tepotzotlán","0001","Tepotzotlán","0250","008",,,,"Fijo","19.72093842","-99.20464861","2019-11"
