"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"2474022","15112461121000151001000000M3","CARNICERÍA LA SUPER",,"461121","Comercio al por menor de carnes rojas","6 a 10 personas","CALLE","ALFREDO DEL MAZO","CALLE","TESOROS","CALLE","DOMINGO VAZQUEZ","CALLE","EL TESORO",,"SN",,,,,"COLONIA","CENTRO",,,,"54300","15","MÉXICO                      ","112","Villa del Carbón","0001","Villa del Carbón","0179","008",,,,"Fijo","19.72662293","-99.46247386","2014-12"
"7199634","15112461160000272000000000U5","COOPERATIVADE LA ESCUELA SECUNDARIA GABRIEL RAMOS MILLAN 760",,"461160","Comercio al por menor de dulces y materias primas para repostería","6 a 10 personas","CALLE","TEPOZAN","CALLE","BOULEVARD LOMA ALTA","CALLE","NINGUNO","CALLE","ALMIRTO",,"SN",,,,,"LOCALIDAD","LOMA ALTA",,,,"54300","15","MÉXICO                      ","112","Villa del Carbón","0011","Loma Alta","0183","045",,,,"Fijo","19.69294707","-99.44806045","2019-11"
"2492541","15112461110001312001000000U3","MINISUPER LA DIVINA PROVIDENCIA",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","6 a 10 personas","ANDADOR","FRESNO","CALLE","OYAMEL","CALLE","BOULEVARD LOMA ALTA","CALLE","PERA","0","SN",,,"0",,"LOCALIDAD","LOMALTA",,,,"54300","15","MÉXICO                      ","112","Villa del Carbón","0011","Loma Alta","0183","002",,,,"Fijo","19.69151708","-99.44841656","2010-07"
"2492570","15112461110001322001000000U2","MISCELANEA MARICELA",,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","6 a 10 personas","CALLE","BOULEVARD LOMA ALTA","CALLE","ZAPOTE","CALLE","LAUREL","CALLE","LAUREL",,"SN",,,"122",,"LOCALIDAD","LOMALTA",,,,"54300","15","MÉXICO                      ","112","Villa del Carbón","0011","Loma Alta","0183","024","5516179901",,,"Fijo","19.68881891","-99.44970754","2010-07"
"9282122","15112461212000092000000000U6","MODELORAMA","DISTRIBUIDORA LA PAZ SA DE CV","461212","Comercio al por menor de cerveza","6 a 10 personas","CALLE","ALFREDO DEL MAZO","CALLE","EL TESORO","CALLE","DOMINGO VAZQUEZ","CALLE","RAFAEL VEGA",,"SN",,,,,"COLONIA","CENTRO",,,,"54300","15","MÉXICO                      ","112","Villa del Carbón","0001","Villa del Carbón","0179","008",,,,"Fijo","19.72519864","-99.46197247","2020-11"
"8901980","15112461213000022000000000M1","PURIFICADORA AGUA VILLA PURA",,"461213","Comercio al por menor de bebidas no alcohólicas y hielo","6 a 10 personas","AVENIDA","JUAREZ","CALLE","NINGUNO","CALLE","10 DE MARZO","CALLE","NINGUNO","92",,,,,,"BARRIO","LA BELLOTA",,,,"54327","15","MÉXICO                      ","112","Villa del Carbón","0001","Villa del Carbón","015A","023",,,,"Fijo","19.73644315","-99.45202702","2019-11"
